    Character  Average Appearances    Author
0           ,             7.608162  HAMILTON
1           .             3.140171  HAMILTON
2           ;             0.799310  HAMILTON
3           ?             0.323047  HAMILTON
4           -             0.224290  HAMILTON
5           '             0.178902  HAMILTON
6           `             0.174505  HAMILTON
7           (             0.132011  HAMILTON
8           )             0.132011  HAMILTON
9           :             0.105220  HAMILTON
10          !             0.061265  HAMILTON
11          ,             8.353966       JAY
12          .             2.686587       JAY
13          ;             0.663146       JAY
14          -             0.283058       JAY
15          ?             0.275076       JAY
16          `             0.201008       JAY
17          '             0.201008       JAY
18          :             0.117396       JAY
19          (             0.094737       JAY
20          )             0.094737       JAY
21          !             0.068290       JAY
22          ,             8.308605   MADISON
23          .             3.160773   MADISON
24          ;             1.096237   MADISON
25          ?             0.247022   MADISON
26          `             0.200528   MADISON
27          '             0.200113   MADISON
28          -             0.194225   MADISON
29          :             0.097350   MADISON
30          (             0.090183   MADISON
31          )             0.090183   MADISON
32          !             0.046547   MADISON
33          ,             9.130913        18
34          .             4.950495        18
35          ;             1.375138        18
36          -             0.110011        18
37          (             0.055006        18
38          )             0.055006        18
39          ,             8.862207        19
40          .             4.116638        19
41          ;             3.087479        19
42          :             0.228702        19
43          -             0.228702        19
44          '             0.171527        19
45          (             0.057176        19
46          )             0.057176        19
47          ?             0.057176        19
48          `             0.057176        19
49          ,            10.015528        20
50          .             4.192547        20
51          ;             2.251553        20
52          -             0.621118        20
53          `             0.232919        20
54          '             0.232919        20
55          ?             0.077640        20
56          :             0.077640        20
57          ,             7.876712        49
58          .             3.835616        49
59          ;             0.342466        49
60          -             0.205479        49
61          `             0.136986        49
62          '             0.136986        49
63          ?             0.136986        49
64          ,            10.399160        50
65          .             4.096639        50
66          ;             0.315126        50
67          ?             0.315126        50
68          -             0.210084        50
69          `             0.105042        50
70          '             0.105042        50
71          ,             7.197191        51
72          .             3.393798        51
73          ;             0.702165        51
74          :             0.292569        51
75          -             0.292569        51
76          ?             0.175541        51
77          ,             8.256881        52
78          .             3.547401        52
79          ;             0.733945        52
80          -             0.183486        52
81          :             0.061162        52
82          `             0.061162        52
83          '             0.061162        52
84          ?             0.061162        52
85          ,             8.311553        53
86          .             3.084161        53
87          ;             0.888657        53
88          ?             0.522739        53
89          -             0.261370        53
90          '             0.104548        53
91          `             0.052274        53
92          :             0.052274        53
93          ,             8.243320        54
94          .             3.297328        54
95          ;             0.739056        54
96          ?             0.397953        54
97          `             0.397953        54
98          -             0.170551        54
99          '             0.113701        54
100         :             0.113701        54
101         ,             7.510965        55
102         .             2.905702        55
103         ;             0.877193        55
104         -             0.438596        55
105         ?             0.438596        55
106         :             0.054825        55
107         ,             7.855191        56
108         .             3.483607        56
109         (             0.341530        56
110         )             0.341530        56
111         -             0.341530        56
112         ?             0.204918        56
113         ;             0.136612        56
114         '             0.136612        56
115         `             0.068306        56
116         ,             5.281515        57
117         .             3.039362        57
118         ?             0.847035        57
119         ;             0.697559        57
120         -             0.199302        57
121         :             0.049826        57
122         ,             8.081897        58
123         .             3.340517        58
124         ;             0.538793        58
125         :             0.107759        58
126         ?             0.107759        58
127         -             0.053879        58
128         ,             8.948655        64
129         .             2.689487        64
130         ;             0.831296        64
131         `             0.048900        64
132         '             0.048900        64
133         :             0.048900        64
134         -             0.048900        64
135         ?             0.048900        64
