    article         ,         .         ;         (         )         -       TAD         :         ?         `         '    author
0        18  1.522752  1.810324  0.575827  0.077005  0.077005  0.114279  4.177193       NaN       NaN       NaN       NaN  HAMILTON
1        19  1.254045  0.976467  2.288168  0.074835  0.074835  0.004412  5.186822  0.123482  0.265872  0.117329  0.007375  HAMILTON
2        20  2.407366  1.052376  1.452243       NaN       NaN  0.396828  5.694233  0.027581  0.245407  0.058414  0.054017  HAMILTON
3        49  0.268551  0.695446  0.456844       NaN       NaN  0.018810  1.705146       NaN  0.186061  0.037519  0.041916  HAMILTON
4        50  2.790998  0.956468  0.484184       NaN       NaN  0.014206  4.397100       NaN  0.007921  0.069463  0.073860  HAMILTON
5        51  0.410970  0.253627  0.097145       NaN       NaN  0.068279  1.164875  0.187348  0.147506       NaN       NaN  HAMILTON
6        52  0.648719  0.407230  0.065365       NaN       NaN  0.040804  1.699144  0.044058  0.261885  0.113343  0.117740  HAMILTON
7        53  0.703391  0.056010  0.089346       NaN       NaN  0.037080  1.335050  0.052946  0.199692  0.122231  0.074354  HAMILTON
8        54  0.635159  0.157157  0.060254       NaN       NaN  0.053738  1.278345  0.008481  0.074906  0.223449  0.065201  HAMILTON
9        55  0.097197  0.234469  0.077883       NaN       NaN  0.214307  0.789800  0.050396  0.115549       NaN       NaN  HAMILTON
10       56  0.247030  0.343436  0.662698  0.209519  0.209519  0.117240  2.056060       NaN  0.118129  0.106199  0.042290  HAMILTON
11       57  2.326647  0.100809  0.101752       NaN       NaN  0.024987  3.133577  0.055395  0.523988       NaN       NaN  HAMILTON
12       58  0.473735  0.200346  0.260517       NaN       NaN  0.170411  1.322836  0.002538  0.215288       NaN       NaN  HAMILTON
13       64  1.340494  0.450684  0.031986       NaN       NaN  0.175390  2.584629  0.056321  0.274147  0.125605  0.130002  HAMILTON
14       18  0.776947  2.263908  0.711991  0.039731  0.039731  0.173047  4.005356       NaN       NaN       NaN       NaN       JAY
15       19  0.508241  1.430051  2.424332  0.037561  0.037561  0.054356  4.994623  0.111306  0.217901  0.143832  0.029481       JAY
16       20  1.661562  1.505959  1.588407       NaN       NaN  0.338060  5.395003  0.039756  0.197436  0.031911  0.031911       JAY
17       49  0.477254  1.149029  0.320681       NaN       NaN  0.077579  2.290675       NaN  0.138090  0.064022  0.064022       JAY
18       50  2.045194  1.410051  0.348020       NaN       NaN  0.072974  4.108221       NaN  0.040050  0.095966  0.095966       JAY
19       51  1.156775  0.707210  0.039019       NaN       NaN  0.009510  2.187222  0.175173  0.099535       NaN       NaN       JAY
20       52  0.097085  0.860813  0.070799       NaN       NaN  0.099572  1.678109  0.056234  0.213914  0.139846  0.139846       JAY
21       53  0.042413  0.397574  0.225510       NaN       NaN  0.021689  1.245165  0.065122  0.247663  0.148734  0.096460       JAY
22       54  0.110646  0.610741  0.075910       NaN       NaN  0.112507  1.320628  0.003695  0.122877  0.196946  0.087307       JAY
23       55  0.843001  0.219115  0.214047       NaN       NaN  0.155538  1.657792  0.062571  0.163520       NaN       NaN       JAY
24       56  0.498775  0.797019  0.526534  0.246793  0.246793  0.058472  2.641643       NaN  0.070158  0.132702  0.064396       JAY
25       57  3.072451  0.352775  0.034412       NaN       NaN  0.083756  4.182924  0.067570  0.571959       NaN       NaN       JAY
26       58  0.272069  0.653930  0.124353       NaN       NaN  0.229179  1.456486  0.009637  0.167318       NaN       NaN       JAY
27       64  0.594689  0.002899  0.168150       NaN       NaN  0.234159  1.598785  0.068496  0.226176  0.152108  0.152108       JAY
28       18  0.822308  1.789722  0.278900  0.035178  0.035178  0.084214  3.045500       NaN       NaN       NaN       NaN   MADISON
29       19  0.553602  0.955865  1.991241  0.033008  0.033008  0.034477  4.094340  0.131353  0.189847  0.143353  0.028586   MADISON
30       20  1.706923  1.031773  1.155316       NaN       NaN  0.426893  4.575195  0.019710  0.169383  0.032391  0.032807   MADISON
31       49  0.431892  0.674843  0.753772       NaN       NaN  0.011255  2.108466       NaN  0.110036  0.063542  0.063126   MADISON
32       50  2.090555  0.935865  0.781111       NaN       NaN  0.015859  4.082052       NaN  0.068104  0.095486  0.095071   MADISON
33       51  1.111413  0.233024  0.394072       NaN       NaN  0.098344  2.103554  0.195219  0.071481       NaN       NaN   MADISON
34       52  0.051724  0.386627  0.362292       NaN       NaN  0.010738  1.311747  0.036187  0.185860  0.139366  0.138951   MADISON
35       53  0.002948  0.076612  0.207581       NaN       NaN  0.067145  0.918898  0.045076  0.275717  0.148254  0.095565   MADISON
36       54  0.065285  0.136555  0.357181       NaN       NaN  0.023673  1.033813  0.016351  0.150931  0.197425  0.086412   MADISON
37       55  0.797640  0.255071  0.219044       NaN       NaN  0.244372  1.750226  0.042525  0.191574       NaN       NaN   MADISON
38       56  0.453413  0.322833  0.959625  0.251347  0.251347  0.147305  2.623698       NaN  0.042104  0.132222  0.063501   MADISON
39       57  3.027090  0.121411  0.398679       NaN       NaN  0.005078  4.199794  0.047524  0.600013       NaN       NaN   MADISON
40       58  0.226708  0.179744  0.557444       NaN       NaN  0.140345  1.253914  0.010409  0.139264       NaN       NaN   MADISON
41       64  0.640051  0.471287  0.264941       NaN       NaN  0.145325  2.071018  0.048450  0.198123  0.151629  0.151213   MADISON
